name,rating,reviews,details,highly_rated,critically_rated
Sodexo,4.1,(3.1k),Facility Management Services | Mumbai +145 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Jindal Steel and Power,3.9,(3.1k),Iron & Steel | Angul +146 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Hindalco Industries,4.2,(3.1k),Metals & Mining | Sambalpur +109 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Bharat Electronics,4.2,(3.1k),Electronics Manufacturing | Bangalore / Bengaluru +69 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Work Life Balance, Company Culture, Work Satisfaction"
RBL Bank,3.6,(3.1k),Banking | Mumbai +248 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Jubilant Foods Works,3.7,(3k),Hospitality | New Delhi +220 other locations,None,"Work Life Balance, Company Culture, Work Satisfaction"
Kogta Financial India Limited,4.7,(3k),NBFC | Jaipur +228 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Reliance Projects & Property Management Services,4.0,(3k),IT Services & Consulting | Kolkata +566 other locations,"Work Life Balance, Job Security, Skill Development / Learning","Work Life Balance, Job Security, Skill Development / Learning"
Indian Oil Corporation,4.4,(3k),Oil & Gas | New Delhi +277 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Future Group,4.2,(3k),Retail | Mumbai +203 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
Birlasoft,3.6,(3k),IT Services & Consulting | Pune +43 other locations,None,"Company Culture, Skill Development / Learning, Work Life Balance"
Synechron,3.5,(3k),IT Services & Consulting | Pune +31 other locations,None,"Company Culture, Skill Development / Learning, Work Life Balance"
